user_id,payment_method,amount,is_premium
user_001,debit_card,708.83,true
user_002,netbanking,829.73,true
user_003,paypal,278.3,false
user_004,upi,71.22,false
user_005,credit_card,949.92,false
user_006,debit_card,991.23,true
user_007,debit_card,708.23,true
user_008,upi,467.73,true
user_009,debit_card,472.88,true
user_010,netbanking,147.3,true
user_011,paypal,48.26,true
user_012,debit_card,430.5,false
user_013,paypal,152.3,true
user_014,debit_card,726.84,true
user_015,upi,735.02,false
user_016,credit_card,760.27,false
user_017,netbanking,741.42,false
user_018,credit_card,99.13,false
user_019,paypal,497.14,true
user_020,netbanking,353.38,false
user_021,debit_card,387.91,true
user_022,credit_card,652.0,true
user_023,debit_card,151.69,false
user_024,debit_card,334.3,false
user_025,paypal,701.07,false
user_026,debit_card,167.81,false
user_027,netbanking,796.65,false
user_028,debit_card,948.03,true
user_029,netbanking,368.17,true
user_030,netbanking,967.94,false
user_031,netbanking,822.99,false
user_032,upi,809.91,false
user_033,credit_card,987.73,false
user_034,paypal,359.46,false
user_035,paypal,463.97,false
user_036,debit_card,403.21,false
user_037,debit_card,548.0,false
user_038,netbanking,166.17,false
user_039,credit_card,872.91,false
user_040,netbanking,81.26,true
user_041,debit_card,531.45,true
user_042,upi,840.5,true
user_043,debit_card,713.12,true
user_044,paypal,299.24,true
user_045,netbanking,870.52,false
user_046,credit_card,412.36,false
user_047,netbanking,717.27,false
user_048,paypal,333.97,false
user_049,paypal,759.8,true
user_050,upi,511.03,true
user_051,paypal,903.21,false
user_052,paypal,309.04,false
user_053,credit_card,328.89,false
user_054,paypal,400.33,false
user_055,debit_card,798.15,true
user_056,netbanking,563.01,true
user_057,netbanking,129.23,false
user_058,credit_card,641.48,false
user_059,debit_card,981.14,true
user_060,upi,958.81,true
user_061,debit_card,364.22,false
user_062,paypal,81.17,false
user_063,credit_card,73.59,true
user_064,netbanking,208.18,false
user_065,upi,880.25,true
user_066,upi,624.91,true
user_067,netbanking,157.65,true
user_068,netbanking,869.0,false
user_069,debit_card,618.85,false
user_070,netbanking,608.53,false
user_071,paypal,843.46,true
user_072,netbanking,785.12,true
user_073,upi,332.07,false
user_074,debit_card,681.36,true
user_075,paypal,873.72,false
user_076,debit_card,606.03,false
user_077,paypal,404.36,false
user_078,credit_card,344.4,true
user_079,upi,610.95,false
user_080,paypal,561.38,false
user_081,upi,93.97,true
user_082,credit_card,203.14,true
user_083,upi,272.0,false
user_084,paypal,362.87,true
user_085,debit_card,371.48,true
user_086,credit_card,272.73,true
user_087,netbanking,742.71,true
user_088,debit_card,658.8,true
user_089,paypal,122.35,true
user_090,netbanking,599.07,false
user_091,debit_card,484.92,true
user_092,credit_card,980.29,false
user_093,debit_card,946.24,true
user_094,debit_card,201.34,false
user_095,paypal,189.14,false
user_096,netbanking,850.6,true
user_097,netbanking,325.94,false
user_098,debit_card,466.97,false
user_099,upi,826.87,false
user_100,upi,990.9,false
